DriverID,City,SignupDate,LastActiveDate,DaysSinceLastTrip,TotalTrips,TripsPerWeek,HoursOnlinePerDay,Utilisation,AverageDailyEarnings_GHS,EarningsPerWeek,Ratings,CancellationRate,IncentiveParticipation,EngagementScore,churn
359178,Accra,17/10/2023,24/07/2024,515,3726,63,9.6,0.43,788.2,5517.4,4,,1,1,1
237337,Cape Coast,25/04/2022,30/11/2022,1117,849,31,7.9,0.67,742.7,5198.9,4,0.36,1,,1
999159,Takoradi,26/01/2022,28/06/2022,1272,4951,72,12.3,0.8,707.8,4954.6,4,0.36,0,0.92,1
141090,Takoradi,30/01/2024,05/10/2024,442,4319,81,10.7,0.64,457,,4,0.32,0,0.52,1
818315,Tamale,09/10/2022,03/09/2023,840,,,10.5,0.4,819.6,5737.2,4,0.14,0,0.55,1
,Accra,08/09/2022,06/07/2024,533,1296,124,7.8,0.52,405.6,2839.2,5,0.43,,0.85,1
447449,Cape Coast,17/08/2022,26/04/2025,239,7323,31,5,0.44,635.8,4450.6,4,0.22,1,0.63,0
600186,Cape Coast,23/05/2022,19/09/2025,93,4635,100,7.9,0.5,448.2,3137.4,4,0.31,0,0.43,1
754811,Accra,25/01/2024,21/05/2025,214,2059,38,13.9,,654.7,4582.9,5,0.4,1,0.79,1
229981,Accra,15/04/2022,19/07/2022,1251,2857,125,4,0.56,504.1,3528.7,4,0.31,0,0.97,1
419030,Accra,24/11/2023,30/09/2025,82,2904,20,10.5,0.5,,3829.7,5,,1,0.63,0
431236,Kumasi,29/01/2024,04/03/2025,292,200,87,7.6,0.56,460.2,3221.4,4,0.32,1,0.65,1
573254,Accra,13/07/2023,17/06/2025,187,6826,119,13.8,0.55,542.2,3795.4,,0.28,1,0.68,0
339629,Accra,31/03/2022,23/12/2024,363,2904,,,0.49,324,2268,,0.32,1,0.79,1
168148,Kumasi,28/08/2023,10/05/2024,590,3537,36,13.3,0.45,673,4711,5,0.27,1,0.84,0
778843,Accra,09/03/2023,21/12/2023,731,5686,99,8.2,0.72,409.6,2867.2,5,0.49,0,0.43,1
996942,Kumasi,02/02/2022,29/06/2025,175,7734,86,4,0.67,652,4564,,0.12,1,0.65,0
560337,Takoradi,31/01/2022,16/05/2025,219,4605,20,10.7,0.51,404.3,2830.1,4,,1,0.47,1
308261,Takoradi,06/04/2022,14/05/2024,586,729,47,10.3,0.43,360.3,2522.1,4,0.19,0,0.43,1
371836,Tamale,12/08/2022,12/12/2022,1105,3253,55,5.4,0.68,436.6,3056.2,4,0.36,1,0.45,1
296769,Kumasi,27/08/2022,23/03/2023,1004,3794,26,6.9,0.48,536.2,3753.4,4,0.42,0,0.98,1
635822,Accra,02/06/2023,30/07/2023,875,200,91,4,0.66,961.8,6732.6,,0.22,1,0.76,1
363160,Tamale,09/09/2023,25/06/2025,179,5428,150,11,0.57,648.7,4540.9,5,0.34,1,0.77,1
124300,Accra,28/01/2022,31/12/2023,721,5973,79,9,0.52,708.5,4959.5,4,0.24,1,,1
374329,Kumasi,29/07/2023,07/05/2024,593,4278,52,9.5,0.49,313.3,2193.1,5,0.27,1,0.35,1
616588,Accra,23/07/2022,29/07/2025,145,1493,60,10.9,0.49,854.2,5979.4,5,0.23,0,0.87,1
476896,Cape Coast,04/01/2024,17/01/2025,338,4637,20,5.8,0.44,267.5,1872.5,5,0.28,0,0.52,0
555808,Accra,28/10/2023,19/01/2025,336,7074,,6.5,0.78,809,5663,4,0.18,0,0.82,1
236330,Accra,20/12/2023,07/10/2024,440,3349,104,11.1,0.53,267.9,1875.3,4,0.29,1,0.65,1
686146,Accra,13/07/2023,04/11/2023,778,6391,66,8.4,0.79,470.1,3290.7,4,0.24,1,0.7,1
388998,Kumasi,06/03/2023,02/07/2024,537,5297,20,12.6,0.54,576.9,4038.3,4,0.27,1,0.53,1
894824,Accra,14/08/2022,17/05/2023,949,200,87,6.2,0.8,581.4,4069.8,5,0.37,1,0.65,1
451279,Accra,05/04/2023,23/09/2025,89,2453,69,6.4,0.6,465.2,3256.4,4,0.3,1,0.34,1
747972,Cape Coast,27/08/2023,03/10/2025,79,5568,106,,0.42,400,2800,5,0.28,0,0.37,0
124538,Accra,12/10/2022,13/03/2023,1014,4399,50,13.2,0.54,464.2,3249.4,4,0.3,0,0.64,1
239182,Accra,08/04/2024,07/03/2025,289,6820,150,10.8,0.74,266.6,,5,0.16,1,1,0
723094,Takoradi,07/01/2022,04/05/2024,596,4710,26,14.3,0.47,413.7,2895.9,4,0.31,1,0.94,1
219176,Accra,17/02/2024,22/07/2024,517,5950,43,10.8,0.6,845.8,5920.6,5,0.37,1,0.56,1
647707,Accra,05/04/2024,07/09/2024,470,2996,20,6.6,0.74,,3796.8,5,0.3,1,0.91,1
872838,Accra,13/06/2022,03/10/2025,79,5003,,6.9,0.75,711.8,4982.6,4,0.22,1,0.72,0
974371,Accra,16/12/2023,18/10/2024,429,933,75,8.1,0.52,202.7,1418.9,5,0.25,1,0.52,0
298286,Kumasi,09/03/2023,17/10/2024,430,6609,111,,0.4,334.4,2340.8,5,0.22,0,0.66,1
424767,Accra,15/12/2022,29/01/2024,692,4815,74,8.7,0.6,743.4,5203.8,5,0.4,1,0.73,1
515515,Cape Coast,12/10/2022,06/12/2025,15,353,101,9.6,0.72,513.4,3593.8,4,0.42,1,0.56,0
542296,Cape Coast,09/06/2022,07/12/2022,1110,3315,111,9.4,0.49,630.4,4412.8,5,0.29,1,0.83,1
